2020,3,690238482592.64,234912345216.65,303871457545.37,731507959603.02,56595887726.92,52267948981.04,46832165481.43,23860464902.61,356153618994.61,29762386714.24,111045669318.39,59751407133.1,9241957864.49,11508546340.96,10629378709.72,7967726295.74,3074656224.98,8312678558.6,5635990929,4227322901.09,4833999832.38,6312047776.98,1580620618.75,5766275609.78,2496269866.75,2129852149.99,633578917.52,183750027.69,568893112892.41,5349.64999997616,71663111.9400001,213728048.19,142917992.28,182740323.8,440839059.14,129661907.86,151481315.87,239089931.35,98978968.93,57018331.82,84772589.66,58581264.97,71401081.92,110927959.86,49455293.07,40131234.34,10195554.32,10626909.12,31717541.88,48125613.7,21868165.36,106710332.31,21501030.18,-18781160.36,49544311.44,13541665.52,18649212.75,0,11271432.71,10451095.89,11649129.02,6645492.42,6716736.64,-4827782.04,4825573.16,6713540.81,6735599.29,6435461.91,5414996.63,3470291.46,3210924.46,78000,-8039129.57,2969156.82,924694.359999999,2768808.3,2528432.66,-4308849.4,2402080.36,1599123.33,403199562.2,9835632.5,-3191787.82,-1744329.51,-1031170.6,5480072.5,0,3383212,,-679054.62,3301185.04,0,600557453.86,55673349897.6,73872162.9,13605349,-3953052.9,-2082443.93,-1009749.89,,-302821.63,2203934.28,-2065868.89,,-1314201.69,,,1881111.94,11857779.37,-1135812.81,31427602.93,-1406533.17,0,,,
2020,4,562965952127.49,265798094799.2,305702102576.75,254469895459.13,70898774762.64,55111083341.55,131108911014.51,13452592510.48,214389306605.6,86459773248.53,92366942502.8,45255644748.32,10385754701.4,15600687355.08,19813912661.32,10326189920.33,2236626282.31,9645792698.76,6882342799.75,4238424887.67,8222450190.56,6590231346.1,1671607778.78,7421379571.01,4960306992.6,4463371725.34,595013691.81,164710735.09,19569184056.39,266007769,138821834.22,255447574.73,119578547.71,272484350.04,592429681.39,131700455.3,163377404.27,54856871.58,105797869.94,98781425.18,99005777.05,78132731.6,102188932.12,39422998.37,73515536.19,87683795.15,148325969.13,11468475.38,46381663.25,118552651.68,29108857.91,91712111.4,33024655.78,8387476560.29,36089932.73,,27481327.43,0,11784173.34,15593035.42,23618552.3,10496949.45,12275712.5,17209606.34,7792948.72,7237299.5,7203116.56,7479705.64,21294347.42,4296641.68,5347770.87,10458000,17335565.55,4083559.7,766211.969999999,5212764.03,2638514.14,8625590.74,1867023.61,3542236.42,4979348.29999995,13447971.53,9059887.89,34126873.58,2840832.6,1216973.27,0,1385995.55,,5813428,178263.63,0,418118490.63,189625555272.4,71905848.62,24553446.72,6746847.29,3150232.64,2672195.01,,628036.5,1949558.32,3356893.58,1958385.77,3034341.54,,,2300711.5,7442609.95,3046879.24,467870683.41,4196055.64,0,2805603.72,,
2021,1,522537395940.38,351408632268.34,312232730473.93,225939783327.81,64224252445.3,54275495464.67,71829216506.9,18913099844.21,154596488661.56,22072955876.34,26524275940.44,41483168735.92,8704265955.35,7661825047.32,5963688618.83,7023784072.43,3491390996.11,4649401861.48,4238610777.02,4857517470.65,3428245105.13,5060231255.34,1711916201.76,1364290368.89,1638005257.69,636386353.64,574602884.02,180272037.86,1141012077.17,553767733.36,1008470615.25,163468432.79,234622870.32,155639158.71,63588273.64,138499151.15,175286035.36,116623376.49,86155947.52,54551176.9,73565376.34,63190178.39,57855030.87,21712211.13,48861052.26,4175753.16,35868692.07,23963414.11,26607305.64,64984728.1,21494127.41,8885556.18,19472193.99,11373719.38,34184099.38,3199519.24,13788054.57,8610662,11388714.11,8439553.66,6035208.21,9355488.43,7799045.83,6191997.15,6480051.93,5749161.36,6719670.28,5442068.7,2561258.98,3929834.13,3857981.54,0,4418095.96,3013407.31,2070029.03,2913176.59,2260092.62,2306287.3,2666205.43,1417542.91,2083142.66,11612418.98,1851631.75,947469.96,656853.16,841535.05,0,7500,,9359132.69,303076.11,0,692782964.38,9883985324.81,23380615.81,5649880.8,255968.55,679599.23,732956.2,739118.57,177600.69,3802526.05,644932.89,1346487.93,54109.2,,351042.59,2076355.68,0,990996.34,91937730.15,3230624.07,0,256746.21,,
2021,2,641468756803.97,286262491173.51,313079963172.11,819936213069.08,62386739983.19,54522491843.16,82848137352.94,27746532939.1,218521202210.22,41268459761.91,171181448002.16,32675537891.04,23858924597.5,14011000061.41,12287985569.17,8050640584.08,1709773025.29,6429548724.15,8310776611.58,4239015094.3,4037078390.09,6563279254.05,1719930471.1,3089928551.44,2537319712.62,1231413856.89,517876224.45,380310628.13,234301522799.2,1805.3899999857,99480923.71,234753687.51,154716201.84,240281755.22,331974675.22,139689484.58,185548970.86,380189926.68,110239945.73,90907274.84,97193401.37,76362933.75,81261128.75,36153515.6,66062348.93,174079689.25,-32543130.85,37755886.2,30777247.24,376090994.92,37117762.65,25049464.13,28561659.81,24401119.53,41149515.99,,35616050.38,0,11038748.82,9997758.25,8118075.56,14578183.12,10007572.41,4134455.31,9704809.15,8635601.62,6726565.51,8100316.73,5284696.08,3740108.79,4713363.85,0,1907650.33,3682357.92,837825.74,2824888.36,2843495.65,3682564.46,2261523.04,2124158.29,3365221.67,11965862.67,3310523.87,3101814.87,1039739.02,769964.22,0,5e+05,,,149742.8,0,449052030.45,1261688828.39,67851190.83,-16201794.98,201608.9,1362278.09,767280.89,,154728.75,1942593.49,337155.11,301920.66,1172051.03,,528276.64,2057007.31,0,880256.52,39593995.26,1613410.86,0,518829.54,,
2021,3,623378772608.55,243255487607.12,308206393038.41,680140229699.75,61612483356.31,55456470706.56,81052240920.3,32217785493.36,189559112892.05,36583300212.28,80365617469.87,32653873112.94,9985377437.37,3695343085.24,9581500277.82,8259627181.23,3796468236.61,8235083655.95,4670555659.19,4542641492.33,4872722433.23,5127906871.96,1717915962.72,4437777840.2,2064469572.45,2063114547.76,716860802.32,185226071.24,96727600224.65,481.759999990463,73203282.8799999,227855231,189850487.23,165822414.2,400812532.8,150376034.78,166034634.78,38368994.46,78650174.17,64968756.44,83865255.71,57406085.39,80702822.46,39870930.05,49081087.72,190433965.44,65502566.56,15744285.36,35080438.59,47551876.44,23835597.64,91864607.74,24122315.41,10842003.7,9982658.91,,26844921.56,0,10026292.82,9979614.52,10582096.7,6083463.92,6854362.3,13113918.34,5758947.06,7995662.76,6840615.71,7825139.1,2625570.12,4013517.55,3996012.26,0,7701279.57,3343343.55,763307.73,2863283.72,2605637.79,2064946.24,1769208.04,2392546.05,2947503.45,10849977.89,2174535.23,6250,452508.48,5662326.08,0,7500,,,153493.38,0,465858390.72,73664946576.96,86319740.15,8856420.11,149507.41,345832.13,648700.44,,104735.87,2605015.24,155629.29,481254.13,438233.77,,184174.31,2174405.43,0,970549.34,42024465.19,2292994.92,0,2062411.28,37167475.37,
2021,4,568139361531.56,266035652211.73,315134232646.98,462967855201.47,68675397812.68,57346321338.76,24307245407.29,25469220607.19,85936494586.9601,42111196615.33,179156750330.86,58446025195.9,10632477685.46,18942358883.83,22866726597.38,10690622511.84,4273371033.51,11410514887.55,8019975063.19,4515835861.54,6071193080.17,7729271973.05,1842235725.68,14764316663.12,5629014159.3,5087293426.48,1016297182.47,187025276.9,16270009531.44,329678437.23,107541743.36,256976020.65,120427650.73,277047798.42,751902918.6,165952300.04,195351134.57,44351339.39,133319781.29,90672639.3,96902353.11,77461363.43,83648612.73,761009133.2,80448172.62,83082889.44,13576046.15,9926778.49,50528131.98,608679845.08,35406811.74,95356765.94,32537327.42,42748685.21,35499666.82,57775350.96,28753915.89,51317705,14364786.99,17112491.79,21418778.31,10038338.35,12625423.74,13281183.74,8303611.03,7153257.13,7334188.66,6517299.67,15736626.23,5412153.3,6620214.97,10772000,1483722.34,4295261.13,828187.83,4686514.31,3665865.74,1159801.89,2335352.43,2998084.5,8267837.49,14074487.68,693837.430000001,0,828594.08,917918.98,50000,1573207.33,,46148.9800000004,140247.4,0,420269527.55,46999004933,73794045.25,5244915.83,89304.86,692122.65,254967.22,,49860.79,1882064.89,1510186.31,241045.82,-1468733.77,,150533.57,2043860.38,0,357140.06,791807012.7,1102687.75,0,48984.8200000003,38769166.33,0
2022,1,590304335553.88,380614416543.69,330685796530.46,304190577985.34,70022354608.72,55995289336.37,88145022108.11,13709735570.17,63884634134.66,28646091328.57,44098757405.71,140441507003.46,14868318195.82,11502975757.45,6324513885.08,7214268762.34,6647277623.6,5734793299.94,4922576126.52,3926519893.33,3616613137.29,5837565644.88,1963994331.48,2091927178.47,5063109653.84,827514796.54,479257015.41,156630282.81,12501449089.27,606455069.97,89938480.77,160829659.24,260758733.11,148735012.96,317054380.61,152227403.21,179702384.96,198125236.74,102704604.3,65718796.33,82031284.17,71027255.81,253589206.91,22822724.95,50084679.03,19190608.79,19462195.13,32942489,30323655.98,59712542.02,25954691.08,10757317.06,23482669.51,16081761.51,40422414.86,7792610.8,12407194.76,0,11077602.16,7143640.84,7631166.23,11536902.84,8209947.91,9283010.47,7625757.02,8506270.34,5772217.46,6195757.95,1170642.06,3498095.42,4644052.79,0,8644067.86,2669078.56,2571529.1,2802789.63,2270869.53,3118239.1,2645188.8,1814251.56,2626384.33,11199509.7,2883614.48,350398.62,765490.33,874615.59,0,130000,,10467184.59,239469.35,0,477232617.48,11317198172.36,76754085.38,16601192.1,478040.6,656986.36,936334.03,,140835.74,2673629.6,506986.31,1327271.23,941781.39,,674972.08,2247668.69,0,1381336.38,32425359.55,1457366.61,0,178049.44,36131155.1,21682.01
2022,2,629171824843.22,254550981485.18,341696159403.62,411984848616.32,66915326974.59,56699854471.36,76513448746.65,10466548427.35,11807224792.8,28659003478.84,5695217909.78,31673305056.25,7578558383.95,9721529959.11,6495980362.61,7236331121.51,6475923396.19,6411680356.99,4829270566.45,4253489862.09,3756637017.27,7335401950.9,3510484338.5,2877288207.89,1641713247.63,1277197544.69,554841999.68,111885775.1,6735816033.14,-3896488.38,103404381.19,210911589.92,163925262.29,177235730.68,245811727.07,142337913.68,211690242.47,61650995.01,107095121.23,64891777.35,76258408.48,57980929.5,79362600.95,29051903.21,54404826.11,7344905.41,33182486.3,20379405.77,32402112.76,113732107.75,22648367.71,76221963.09,22623779.15,19551100.23,10095554.09,13757322.15,26862435.08,67851990,14237428.44,9808667.82,8519287.74,8984311.63,8813613.85,7202690.65,6764981.34,7252850.01,6257670.22,8479501.29,882423.81,4554667.44,3570596.32,0,13069638.06,3224698.52,791349.06,2858025.11,2829460.69,3483081.34,2121440.07,1658222.28,2354289.12,11335000.58,2447090.64,14277013.32,787086.79,799107.21,0,13780.5,,4746383.3,112860.58,0,456428100.03,22692023994.1,32937676.82,6730092.28,1091153.36,,777836.59,,140222.16,2531120.13,394176.87,655814.16,812322.79,,552278.5,2278553.08,0,1502176.38,56539167.46,645630.93,0,473923.17,61767609.99,-1682.01
2022,3,562194247054.28,388192120542.77,342143294640.51,434507957390.39,70900799253.7,57206257034.86,90792439710.96,31443602677.73,-37547984630.82,29847340924.06,61590079700.65,32359937958.61,21262415942.07,12233197011.06,15495737070.98,9543216966.67,6069637533.1,11319554244.54,8144537969.86,4142980264.26,4765158635.32,5034561514.74,6583857701.69,8798383813.88,3304688907.98,2180183286.26,660630030.83,499667471.91,15563348015.39,24971.6999999285,109355960.93,234855028.31,168291680.05,221935898.23,716729605.36,173411266.71,182263110.54,288558469.8,85023281.06,89476170.57,93729147.05,72265831.37,84649539.24,345961630.35,62975246.79,179222504.1,18732434.2,45486198.99,44577685.59,97621226.58,36587779.59,107118193.28,28838491.84,19909364.33,73799815.67,15782841.14,21385775.15,2.5e+08,11103792.61,7662032.59,11231461.07,12773561.53,9204088.15,10349030.89,7603628.75,8641775.3,7751060.91,7578661.33,4735799.35,3721503.01,6067570.34,0,10465526.63,3833682.78,863527.62,2873780.71,2983341.87,3621064.59,2377431.15,2075248.6,138970549.58,11628697.22,2549579.5,15723287.65,913947.83,5267834.22,50000,469700,,2755004.16,137420.1,0,473441487.96,-2152480087.8,71844276.98,14456172.69,672189.19,,934268,,183509.88,4563342.85,3019803.34,445423.46,847325.89,,318678.91,2034107.34,0,1052505.29,679474524,1058889.23,,363577.31,33516065.76,0
2022,4,671299373872.01,166587345483.02,350462513530.29,300939823001.37,75647997743.59,59661305872.43,31457535722.68,12201469598.31,27629734704.56,46035803708.44,503339668736.7,64467527576.02,14559859170.16,16226415917.15,24597934885.83,12048406188.55,5658035015.48,14141951185.84,8658974811.9,4646510632.22,9551957623.04,9185475592.34,2681345728.54,18992902877.14,9503818015.85,5238812693.96,628301291.99,204537627.3,654453920.959999,344307347.38,142550338.98,284086003.7,134275378.73,326529656.25,813302019.57,184899317.48,186696328.36,50977645.49,138478695.61,89804396.47,118327109.98,73880453.19,93747472.07,43411137.75,93488473.49,85629332.33,104255727.37,17023476.03,53939295.11,162933289.85,35769651.3,66953877.15,33655312.51,19050175.87,36482180.13,54579127.15,32560353.43,0,13812109.1,7650592.14,17416877.96,11096114.21,12777317.75,11740787.92,10905436.16,7955280.06,8107210.7,9826303.39,36139951.46,4036125.38,4878435.22,11741000,15260669.6,5117302.49,801260.97,4866338.45,5315301.73,3222494.36,2869465.26,3880526.66,8091588.22,15294609.94,2957923.34,34679524.41,1425634.37,1188510.83,0,1597463,,2862539.59,2767834.61,0,458102281.05,105205581625.76,51576744.84,8476456.94,776003.33,,1095121.22,,221478.1,1548182.09,952986.42,508968.78,976572.28,,485800.17,1994641.06,0,2308895.47,703676779.13,4513204.3,,57166.17,40369314.44,0
2023,1,558832901499.7,404578215703.05,351396818892.49,342988673218.64,77107318366.53,58485077185.4,68384576324.21,19017802292.2,12043022835.09,33063755400.38,48782356582.57,13809254289.42,11336059751.22,11138626176.08,6928001424.7,7811183680.15,4008600368.24,7405037848.49,4898683131.96,4133051921.69,3811179526.32,7628047285.69,39809947684.31,9047037690.19,3200376351.53,690189001.16,546773102.37,137310455.1,687089443.49,643144436.8,97728011.32,174436934.64,301267400.72,152801767.06,140489215.52,145667029.03,207685253.48,135699289.66,92636277.19,53577466.6,85570579.23,64072416.31,62463474.87,18778990.68,53123594.7,4146403.18,14932405.99,23575811.88,32026358.3,87899312.13,24342881.44,12273253.63,23290300.63,19386618.27,7801398.54,20373653.44,14034454.54,0,12420801.28,13796554.62,5568640.61,10003306.86,8410818.24,6547201.76,6943973.43,6324544.63,7500531.91,15904765.58,1840703.8,4349860.61,4044165.91,0,4440228.66,2772255.03,2854329.43,2758744.15,2197529.07,2422140.1,2876071.4,2033771.92,4018970.58,12225909.19,2011925.91,17856694.08,798850.89,913572.09,0,15000,,11250335.95,210708.12,0,525256420.08,33282280462.86,27345685.5,6738141.04,1992842.35,,770808.24,,133206.27,2516189.74,459676.51,1293799.17,945141.11,,900478.65,1872057.36,0,1249442.47,74087038.81,3163645.72,3682559.8,-711286.66,48870651.51,0
2023,2,696960612973.59,441172370274.85,395079285632.68,447219325361.3,78670780985.22,59621396060.12,95335772659.24,17500382560.25,16908423762.15,27862038567.41,34414543878.28,29894346486.05,27969153280.71,15151197589.44,9369021489.53,9341701372.6,3916473200.86,9730257600.03,8141578845.81,4423327916.21,4457391368.42,6665568260.17,2487143652.41,7087713580.99,3655114706.07,1235185298.25,602436334.92,502334195.01,1545063543.22,-144389.889999986,128705320.31,266200354.53,208396659.28,249404093.88,218959866.72,191330431.88,201271141.94,377621552.43,123043750.68,93104689.6,105472820.9,81759815.39,114884456.29,41864848.45,70842725.29,187511171.15,33231790.13,110560987.6,37454196.18,69065510.23,40541812.64,32905435.57,28551522.72,28032154.91,179843363.61,21776732.16,36806170.22,0,13113038.91,10673870.65,13545298.12,16502590.81,10577954.34,12446984.62,7899069.6,9373689.65,7162456.63,10010653.81,6515255.05,4513405.67,5750571.3,0,26332159.92,4086159.4,856412.23,3098297.25,3038854.17,2923803.88,2470815.42,1703455.94,86914699.12,11447141.87,3509704.22,7248613.62,1129477.69,919753.22,0,257500,,18632095.73,166434.73,0,69281616288.35,-89422001963.22,89192211.02,15539734.9,5879246.51,,750473.93,,191252.93,3380285.3,3565231.92,625785.7,1167113.14,,322506.29,2874772.55,0,1839146.51,88370933.68,2168078.09,892563.180000001,1023095.4,42162831.09,123.57
2023,3,608481584907.67,167104688559.72,377884048095.2,510518296629.38,80127929384.78,61766322064.27,33370064625.16,29637804896.19,13230337718.72,32853927587.16,28118415374.43,38446239657.72,13266440153.16,10669389877.34,11966012776.58,10278892864.77,4905702679.54,10697234555.68,6949775179.5,4313802388.39,6228607659.58,8024798853.9,5050651410.78,7579327200.92,2864875190.3,2279323260.01,942848381.32,167778989.78,29204501645.7,216245.780000091,96199356.15,250528072.73,170086153.8,297302729.94,848788597.31,193139545.91,205650727.08,76939039.82,92368509.24,89568962.78,117013982.35,64089125.69,90859575.64,210352478.92,55171400.68,19093980.51,32514022.63,17145585.88,47265144.33,75923966.25,27263676.94,91829007.17,27095990.9,11255330.03,29985203.19,20415070.6,23795220.18,0,12085242.75,8506091.02,11827754.78,6893852.85,7694722.31,8418864.36,8360659.11,7839262.89,7897807.41,-3787302.34,8935309.57,2696168.32,7579675.47,0,6896820.28,2372970.24,809536.79,2939448.59,3073089.05,3288064.42,2198226.3,1606211.03,7296901.89999999,12105704.61,1695040.12,35630350.67,756792.19,5998139.36,0,750000,,4954228.61,119801.7,0,24542449964.74,135281785488.32,37463922.22,15589334.91,2019723.39,,789273.57,,125416.06,3636068.75,676489.89,403707.32,888279.65,,641746.51,1711343.02,0.03,1684829.97,763606337.13,1722987.92,793326.73,2394485.02,51655793.21,0
2023,4,611398881171.74,317688830317.87,382482923416.92,344040645060.43,88504276891.87,54350177195.72,99508854268.57,18345354769.28,16207759164.61,39935702714.49,143599108157.05,56854586636.2,19015738057.94,18617001561.99,23467873682.18,13020881388.32,4350245255.46,15531208977.59,8286017564.43,4138782477.15,7635230586.23,8639515240.66,5640970246.06,14464610402.88,13932171819.69,5657262964.22,790734952.52,248856171.92,827588395.82,363503733.49,149766483.54,255610288.17,157186857.46,205911234.35,815316585.36,227287614.7,225003888.92,79807536.9200001,151065127.63,79114907.14,119391473.95,89507441.96,87796540.02,55271008.5,95767763.22,92439071.78,237949213.24,21113937.27,56699357.32,606585851.54,36564945.45,64732243.19,36211266,23184396.01,43154058.79,,28336311.14,95039223,14587144.46,25278723.97,20892924.73,13895625.31,14465961.02,12721534.35,15382198.39,8415598.16,7995777.89,13610892.58,40167319.78,4639592.54,5595273.64,13482000,8377352.52,5709248.43,568160.7,5740314.09,6142566.01,5327519.34,3168987.82,3520221.67,10631871,19406695.13,7111932.08,12666737.7,1564508.84,,50000,3914354.11,,36510433.87,1945971.76,0,50600056194.91,68232977427.39,63353618.51,,2326578.65,,1215138.83,,382145.31,1466686.95,802686.08,613067.07,845022.03,,662073.64,2451271.62,0,1529709.07,805946727.48,17061748.66,882793.68,-833232.96,41122771.48,0
2024,1,554994232000.33,470249203740.12,391060659394.87,392064309001.26,90886064896.15,50091100523.27,63116322696.06,15263205913.3,15544676624.53,31186915257.5,32001938742.28,15554933904.49,16917248851.07,11384300486.11,6823283018.89,9183990491.05,20736312502.48,6907549291.85,5258035235.82,3901364209.24,4702469509,7419608717.65,1881312402.14,2184913464.14,3352562556.33,778081227.52,471652909.01,158267063.73,540489464.4,662966423.33,95933145.68,178249860.54,236827728.99,219467839.14,255652523.07,178448018.6,202927830.68,195625027.9,106179140.26,67881129.95,104935510.89,69107380.16,82442040.58,21914598.24,51541888.88,4869341.46,9196913.44,24436076.52,37220307.49,70111195.42,28555011.07,14430546.5,28211128.54,18176531.61,2843065.41,10797863.64,15902853.27,0,12219760.8,7383261.69,5439596.14,11440798.89,10150371.04,10460226.15,8110669.32,6575383.79,8165680.16,5790217.65,2741911.3,3810475.96,4491418.82,0,7808678.6,2965259.41,2550592.69,2793827.29,2950646.71,3267753.22,2921982.22,1565604.12,4421725.19,12736557.3,2694222.63,1786954.01,872307.42,,,9e+05,,15110534.3,201811.25,,65698179572.73,35280532311,14815653.32,,3181308.69,,792111.28,,217661.74,3130231.49,602483.08,1366348.27,1122183.08,,773438.57,2697504.61,0,1331026.37,169824732.1,21724544.42,3315409.19,180388.77,62070406.28,0
2024,2,672267977768.87,224872492758.18,400711601971.48,485121048216.53,85267149261.2,50171718469.58,57824013217.09,16440273822.53,14097090251.34,30544856953.35,5740274144.48,31570423954.73,14045738920.28,10751427104.15,11463356441.76,9306741855.16,5337157575.02,9276599213.35,5466381275.78,4518636746.62,2076774026.55,8937384933.73,2087174066.32,2069824749.8,3201412375.73,1462753214.15,499468876.87,152259469.37,387692755.98,1156790.61000001,102089275.29,235854817.3,267786258.33,171008778.14,151635355.47,157525203.09,228530393.3,194376887.53,100550384.37,76571796.51,101446640.85,66457035.38,115440972.49,36108974.06,55670516.32,14131703.92,35763125.1,23253062.38,32162541.97,320192703.88,33450728.61,33209443.11,27169852.04,15507803.42,146225894.5,18996295.11,24653030.43,94300000,11591871.4,13923280.53,5459362.02,10593167.45,8693180.7,11076464.89,7804455.47,6333473.42,6709024.05,6693150.31,22085131.51,4142044.93,4483060.43,0,12089515.8,3093224.54,825053.37,2979814.18,3405276.45,3024672.86,2635997.73,2029705.93,7159047.49,11770828.49,2765010.12,34912065.41,870563.37,,,301133.9,,10268165.87,-661176.69,,2349544451.75,30313126325.65,55311513.77,,3422128.83,,963551.1,,208401.63,2099058.68,476361.31,452211.53,947553.58,,715898.28,2192772.64,0,2417827.96,178022979.65,13956806.09,796771.88,222326.74,87463022.61,0
2024,3,637705619190.64,277755550892.34,411310542515.03,577221847732.28,93366552272.24,50844396008.69,50339475959.7,35822778153.33,20739763975.08,35845077109.47,100149272231.48,34660274127.27,24804452662.62,13033007666.52,10658058971.22,9174522939.34,4101047972.52,10834926101.71,7153736199.72,4331762721.93,8112155331.7,6265320506.49,8309658835.83,3698383911.46,6762223018.54,1968833432.63,734040051.87,529701839.3,34788572215.44,19004674.02,135188702.15,292285801.15,577719499.18,253503049.25,538663292.57,178335018.97,231801634.86,139785909.19,137095240.43,95675237.74,116123357.05,79113908.88,122192170.24,130021067.33,76081145.33,192754316.3,-42828090.74,30963167.89,45814496.68,624757510.9,36937278.69,94289699.12,36774465.06,27109777.79,69000059.12,28327090.58,27395758.47,0,12399021.13,7016584.68,15125759.78,12512726.45,8646962.27,10256186.21,9785777.28,10987158.64,7318094.19,8813174.54,4500603.02,5032664.55,7692281.08,0,7622452.23,4775021.83,123731794.03,3043808.67,2589249.59,4133918,2808852.07,1977884.92,60444728.06,12322898.27,3087533.38,,1094713.79,5918388.59,,530000,,20082603.8,1199284.23,,2860230771.4,16865037623.29,79367508.74,,3633707.31,,838763.07,,163136.79,3905634.36,3535131.57,454316.91,1250922.4,,466489.99,2267801.9,0,1044099.18,669779747.42,6186567.37,867765.32,1733136.88,196339695.12,0
